time_ps,volume_A3,temperature_K,density_g_cm3,mc_accept_pct,mc_volume_scale_A3
0.0000,1920.3259,291.11,0.99698,nan,1.000
0.0100,1920.3259,296.60,0.99698,nan,1.000
0.0200,1920.5467,295.18,0.99687,100.0,1.000
0.0300,1920.9111,294.25,0.99668,100.0,1.000
0.0400,1921.1946,301.05,0.99653,100.0,1.000
0.0500,1921.1946,286.62,0.99653,100.0,1.000
0.0600,1921.1406,293.79,0.99656,100.0,1.000
0.0700,1920.6174,316.19,0.99683,100.0,1.000
0.0800,1919.9316,293.94,0.99719,100.0,1.000
0.0900,1920.1802,291.64,0.99706,100.0,1.000
0.1000,1920.1802,302.11,0.99706,100.0,1.000
0.1100,1920.8138,301.89,0.99673,100.0,1.000
0.1200,1921.2737,302.85,0.99649,100.0,1.000
0.1300,1921.7919,272.50,0.99622,100.0,1.100
0.1400,1921.5468,280.16,0.99635,100.0,1.100
0.1500,1921.5468,276.17,0.99635,100.0,1.100
0.1600,1920.8721,305.56,0.99670,100.0,1.100
0.1700,1920.6323,306.33,0.99683,100.0,1.100
0.1800,1920.3852,318.70,0.99695,100.0,1.100
0.1900,1921.3926,297.71,0.99643,100.0,1.100
0.2000,1921.3926,301.19,0.99643,100.0,1.100
0.2100,1922.3162,318.44,0.99595,100.0,1.100
0.2200,1923.2420,282.84,0.99547,100.0,1.100
0.2300,1923.7506,290.40,0.99521,100.0,1.100
0.2400,1924.4930,288.60,0.99483,100.0,1.100
0.2500,1924.4930,294.33,0.99483,100.0,1.100
0.2600,1924.1559,312.41,0.99500,100.0,1.210
0.2700,1925.0149,319.54,0.99456,100.0,1.210
0.2800,1925.7384,318.66,0.99418,100.0,1.210
0.2900,1925.6100,319.17,0.99425,100.0,1.210
0.3000,1925.6100,307.57,0.99425,100.0,1.210
0.3100,1925.6100,321.09,0.99425,95.8,1.210
0.3200,1924.9414,308.06,0.99459,96.0,1.210
0.3300,1925.1498,301.15,0.99449,96.2,1.210
0.3400,1926.3143,305.36,0.99389,96.3,1.210
0.3500,1926.3143,298.79,0.99389,96.3,1.210
0.3600,1926.4844,311.32,0.99380,96.4,1.210
0.3700,1926.3414,323.57,0.99387,96.6,1.210
0.3800,1926.7596,308.66,0.99366,96.7,1.331
0.3900,1927.5869,314.66,0.99323,96.8,1.331
0.4000,1927.5869,322.00,0.99323,96.8,1.331
0.4100,1927.5869,312.80,0.99323,93.8,1.331
0.4200,1926.6891,305.74,0.99369,93.9,1.331
0.4300,1926.7070,280.31,0.99368,94.1,1.331
0.4400,1925.4333,323.73,0.99434,94.3,1.331
0.4500,1925.4333,308.47,0.99434,94.3,1.331
0.4600,1925.4635,306.97,0.99432,94.4,1.331
0.4700,1925.4220,290.56,0.99435,94.6,1.331
0.4800,1924.6111,318.98,0.99476,94.7,1.331
0.4900,1925.8213,304.34,0.99414,94.9,1.331
0.5000,1925.8213,308.72,0.99414,94.9,1.331
0.5100,1924.6498,301.33,0.99474,95.0,1.464
0.5200,1925.7356,323.65,0.99418,95.1,1.464
0.5300,1925.4902,314.87,0.99431,95.2,1.464
0.5400,1925.4902,306.79,0.99431,93.0,1.464
0.5500,1925.4902,322.11,0.99431,93.0,1.464
0.5600,1924.4063,289.74,0.99487,93.2,1.464
0.5700,1924.0758,301.21,0.99504,93.3,1.464
0.5800,1925.4262,330.48,0.99434,93.5,1.464
0.5900,1925.9177,303.70,0.99409,93.6,1.464
0.6000,1925.9177,289.57,0.99409,93.6,1.464
0.6100,1926.0984,288.76,0.99400,93.8,1.464
0.6200,1926.9896,275.26,0.99354,93.9,1.464
0.6300,1926.5445,290.12,0.99377,94.0,1.611
0.6400,1927.2181,310.55,0.99342,94.1,1.611
0.6500,1927.2181,293.46,0.99342,94.1,1.611
0.6600,1926.3876,280.86,0.99385,94.2,1.611
0.6700,1925.1681,285.57,0.99448,94.3,1.611
0.6800,1925.1675,290.30,0.99448,94.4,1.611
0.6900,1926.2449,265.44,0.99392,94.5,1.611
0.7000,1926.2449,255.27,0.99392,94.5,1.611
0.7100,1924.9949,295.17,0.99457,94.6,1.611
0.7200,1924.4347,277.92,0.99486,94.7,1.611
0.7300,1924.0789,290.53,0.99504,94.8,1.611
