time_ps,volume_A3,temperature_K,density_g_cm3,mc_accept_pct,mc_volume_scale_A3
0.0000,3750.6364,310.54,0.99698,nan,37.506
0.0100,3750.6364,296.98,0.99698,nan,37.506
0.0200,3717.9040,316.52,1.00576,100.0,37.506
0.0300,3706.6028,307.78,1.00883,100.0,37.506
0.0400,3705.9052,312.99,1.00902,100.0,37.506
0.0500,3696.7522,296.87,1.01152,100.0,37.506
0.0600,3696.7522,320.72,1.01152,100.0,37.506
0.0700,3696.7522,325.75,1.01152,80.0,37.506
0.0800,3687.1158,302.99,1.01416,83.3,37.506
0.0900,3654.1603,290.32,1.02331,85.7,37.506
0.1000,3654.1603,281.30,1.02331,75.0,37.506
0.1100,3654.1603,308.63,1.02331,75.0,37.506
0.1200,3654.1603,300.90,1.02331,66.7,37.506
0.1300,3654.1603,301.95,1.02331,60.0,37.506
0.1400,3654.1603,315.58,1.02331,54.5,37.506
0.1500,3654.1603,303.25,1.02331,50.0,37.506
0.1600,3654.1603,303.11,1.02331,50.0,37.506
0.1700,3641.7338,291.81,1.02680,53.8,37.506
0.1800,3641.7338,301.17,1.02680,50.0,37.506
0.1900,3641.7338,297.03,1.02680,46.7,37.506
0.2000,3641.7338,296.99,1.02680,43.8,37.506
0.2100,3641.7338,306.29,1.02680,43.8,37.506
0.2200,3633.4127,297.69,1.02915,47.1,37.506
0.2300,3633.4127,318.28,1.02915,44.4,37.506
0.2400,3623.8942,308.28,1.03185,47.4,37.506
0.2500,3623.8942,301.61,1.03185,45.0,37.506
0.2600,3623.8942,299.06,1.03185,45.0,37.506
0.2700,3623.8942,310.69,1.03185,42.9,37.506
0.2800,3623.8942,305.18,1.03185,40.9,37.506
0.2900,3631.3024,303.51,1.02975,43.5,37.506
0.3000,3631.3024,299.02,1.02975,41.7,37.506
0.3100,3631.3024,305.90,1.02975,41.7,37.506
0.3200,3638.6682,315.38,1.02766,44.0,37.506
0.3300,3638.6682,337.49,1.02766,42.3,37.506
0.3400,3618.0724,320.29,1.03351,44.4,37.506
0.3500,3599.9282,302.21,1.03872,46.4,37.506
0.3600,3599.9282,314.48,1.03872,46.4,37.506
0.3700,3611.8632,305.32,1.03529,48.3,37.506
0.3800,3611.8632,307.21,1.03529,46.7,37.506
0.3900,3610.0361,311.82,1.03581,48.4,37.506
0.4000,3631.5824,304.49,1.02967,50.0,37.506
0.4100,3631.5824,305.82,1.02967,50.0,37.506
0.4200,3627.1078,302.25,1.03094,51.5,37.506
0.4300,3627.1078,313.27,1.03094,50.0,37.506
0.4400,3616.9825,328.54,1.03382,51.4,37.506
0.4500,3627.8793,312.07,1.03072,52.8,37.506
0.4600,3627.8793,312.53,1.03072,52.8,37.506
0.4700,3627.8793,317.39,1.03072,51.4,37.506
0.4800,3609.0473,316.30,1.03610,52.6,37.506
0.4900,3609.0473,321.18,1.03610,51.3,37.506
0.5000,3579.3018,316.43,1.04471,52.5,37.506
0.5100,3579.3018,286.06,1.04471,52.5,37.506
0.5200,3608.2972,298.09,1.03631,53.7,37.506
0.5300,3608.2972,302.48,1.03631,52.4,37.506
0.5400,3596.6726,309.96,1.03966,53.5,37.506
0.5500,3596.6726,292.70,1.03966,52.3,37.506
0.5600,3596.6726,291.84,1.03966,52.3,37.506
0.5700,3596.6726,314.71,1.03966,51.1,37.506
0.5800,3584.0405,310.71,1.04333,52.2,37.506
0.5900,3566.0792,305.76,1.04858,53.2,37.506
0.6000,3557.6197,323.68,1.05108,54.2,37.506
0.6100,3557.6197,314.05,1.05108,54.2,37.506
0.6200,3577.1690,311.65,1.04533,55.1,37.506
0.6300,3613.2346,305.94,1.03490,56.0,37.506
0.6400,3613.2346,308.67,1.03490,54.9,37.506
0.6500,3637.1972,295.47,1.02808,55.8,37.506
0.6600,3637.1972,292.34,1.02808,55.8,37.506
0.6700,3611.6218,291.21,1.03536,56.6,37.506
0.6800,3593.3436,291.13,1.04063,57.4,37.506
0.6900,3593.3436,295.25,1.04063,56.4,37.506
0.7000,3616.2646,299.64,1.03403,57.1,37.506
0.7100,3616.2646,300.71,1.03403,57.1,37.506
0.7200,3624.5016,300.24,1.03168,57.9,37.506
0.7300,3624.5016,276.72,1.03168,56.9,37.506
0.7400,3624.3621,295.93,1.03172,57.6,37.506
0.7500,3588.1127,288.47,1.04214,58.3,37.506
0.7600,3588.1127,298.41,1.04214,58.3,37.506
0.7700,3588.1127,308.32,1.04214,57.4,37.506
0.7800,3588.1127,282.35,1.04214,56.5,37.506
0.7900,3588.1127,293.90,1.04214,55.6,37.506
0.8000,3600.2932,299.52,1.03862,56.2,37.506
0.8100,3600.2932,299.40,1.03862,56.2,37.506
0.8200,3596.8159,289.61,1.03962,56.9,37.506
0.8300,3596.8159,283.32,1.03962,56.1,37.506
0.8400,3592.5985,281.97,1.04084,56.7,37.506
