time_ps,volume_A3,temperature_K,density_g_cm3,mc_accept_pct,mc_volume_scale_A3
0.0000,3750.6364,310.54,0.99698,nan,37.506
0.0100,3750.6364,297.00,0.99698,nan,37.506
0.0200,3717.9040,316.52,1.00576,100.0,37.506
0.0300,3706.6028,307.79,1.00883,100.0,37.506
0.0400,3705.9052,312.98,1.00902,100.0,37.506
0.0500,3696.7522,296.85,1.01152,100.0,37.506
0.0600,3696.7522,321.70,1.01152,100.0,37.506
0.0700,3696.7375,326.31,1.01152,100.0,37.506
0.0800,3678.2848,312.89,1.01660,100.0,37.506
0.0900,3654.9940,296.23,1.02307,100.0,37.506
0.1000,3654.9940,282.00,1.02307,87.5,37.506
0.1100,3654.9940,289.10,1.02307,87.5,37.506
0.1200,3675.8642,285.55,1.01726,88.9,37.506
0.1300,3658.1774,277.46,1.02218,90.0,41.257
0.1400,3630.3832,284.94,1.03001,90.9,41.257
0.1500,3630.3832,287.88,1.03001,83.3,41.257
0.1600,3630.3832,294.38,1.03001,83.3,41.257
0.1700,3630.3832,294.45,1.03001,76.9,41.257
0.1800,3617.0689,277.18,1.03380,78.6,41.257
0.1900,3617.0689,297.40,1.03380,73.3,41.257
0.2000,3619.0096,287.15,1.03325,75.0,41.257
0.2100,3619.0096,279.90,1.03325,75.0,41.257
0.2200,3610.9860,286.60,1.03554,76.5,41.257
0.2300,3610.9860,286.49,1.03554,72.2,41.257
0.2400,3608.3345,281.41,1.03630,73.7,41.257
0.2500,3608.3345,295.81,1.03630,70.0,41.257
0.2600,3608.3345,300.83,1.03630,70.0,41.257
0.2700,3608.3345,285.81,1.03630,66.7,41.257
0.2800,3578.0547,281.19,1.04507,68.2,41.257
0.2900,3549.2842,287.26,1.05354,69.6,41.257
0.3000,3552.4735,287.38,1.05260,70.8,41.257
0.3100,3552.4735,279.78,1.05260,70.8,41.257
0.3200,3552.4735,289.90,1.05260,68.0,41.257
0.3300,3587.8761,303.78,1.04221,69.2,41.257
0.3400,3573.1324,279.72,1.04651,70.4,41.257
0.3500,3598.8360,292.62,1.03904,71.4,41.257
0.3600,3598.8360,289.69,1.03904,71.4,41.257
0.3700,3598.8360,290.42,1.03904,69.0,41.257
0.3800,3625.1445,291.33,1.03150,70.0,41.257
0.3900,3635.7607,305.04,1.02849,71.0,41.257
0.4000,3647.7294,307.38,1.02511,71.9,41.257
