Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000      -260017.420  -260031.851       14.431   297.7
0.0100      -260017.001  -260031.906       14.905   307.5
0.0200      -260017.274  -260032.403       15.129   312.1
0.0300      -260017.972  -260032.662       14.690   303.1
0.0400      -260018.157  -260032.699       14.542   300.0
0.0500      -260018.768  -260033.572       14.803   305.4
0.0600      -260019.696  -260033.811       14.115   291.2
0.0700      -260020.328  -260033.707       13.379   276.0
0.0800      -260020.084  -260034.525       14.440   297.9
0.0900      -260019.568  -260034.332       14.764   304.6
0.1000      -260019.102  -260033.679       14.577   300.7
0.1100      -260018.876  -260033.784       14.908   307.6
0.1200      -260018.952  -260033.281       14.329   295.6
0.1300      -260018.464  -260033.267       14.803   305.4
0.1400      -260017.602  -260032.617       15.015   309.8
0.1500      -260018.113  -260032.534       14.421   297.5
0.1600      -260018.109  -260032.423       14.314   295.3
0.1700      -260018.587  -260032.692       14.106   291.0
0.1800      -260019.052  -260033.416       14.365   296.3
0.1900      -260019.927  -260033.693       13.766   284.0
0.2000      -260020.019  -260034.447       14.428   297.7
0.2100      -260019.435  -260033.636       14.200   293.0
0.2200      -260019.124  -260033.513       14.389   296.9
0.2300      -260018.825  -260033.473       14.647   302.2
0.2400      -260019.299  -260033.404       14.105   291.0
0.2500      -260019.406  -260034.286       14.881   307.0
0.2600      -260019.342  -260033.389       14.047   289.8
0.2700      -260018.535  -260033.430       14.895   307.3
0.2800      -260018.137  -260033.579       15.442   318.6
0.2900      -260018.314  -260033.236       14.922   307.9
0.3000      -260017.863  -260032.626       14.763   304.6
0.3100      -260017.895  -260032.595       14.700   303.3
0.3200      -260017.651  -260032.831       15.180   313.2
0.3300      -260018.119  -260032.250       14.131   291.5
0.3400      -260017.537  -260032.801       15.264   314.9
0.3500      -260017.696  -260033.414       15.717   324.2
0.3600      -260016.605  -260032.746       16.141   333.0
0.3700      -260016.193  -260031.402       15.209   313.8
0.3800      -260016.296  -260031.856       15.559   321.0
0.3900      -260015.929  -260032.279       16.349   337.3
0.4000      -260016.085  -260031.836       15.751   325.0
0.4100      -260015.860  -260032.237       16.377   337.9
0.4200      -260016.056  -260032.185       16.129   332.7
0.4300      -260015.949  -260032.428       16.479   340.0
0.4400      -260016.685  -260032.470       15.785   325.7
0.4500      -260016.999  -260032.048       15.050   310.5
0.4600      -260017.061  -260031.930       14.870   306.8
0.4700      -260016.759  -260032.249       15.490   319.6
0.4800      -260017.573  -260033.351       15.777   325.5
0.4900      -260017.974  -260033.053       15.079   311.1
0.5000      -260017.696  -260032.690       14.994   309.3
0.5100      -260017.838  -260032.774       14.936   308.1
0.5200      -260018.302  -260033.226       14.924   307.9
0.5300      -260018.150  -260032.703       14.553   300.2
0.5400      -260018.611  -260033.736       15.124   312.0
0.5500      -260018.644  -260034.024       15.379   317.3
0.5600      -260018.730  -260033.932       15.202   313.6
0.5700      -260018.957  -260033.434       14.477   298.7
0.5800      -260019.019  -260033.298       14.279   294.6
0.5900      -260018.981  -260033.872       14.892   307.2
0.6000      -260018.261  -260033.078       14.817   305.7
0.6100      -260018.726  -260033.841       15.116   311.8
0.6200      -260018.977  -260034.523       15.545   320.7
0.6300      -260019.476  -260034.160       14.685   302.9
0.6400      -260019.492  -260034.051       14.559   300.4
0.6500      -260018.863  -260034.055       15.192   313.4
0.6600      -260018.511  -260033.949       15.438   318.5
0.6700      -260018.309  -260033.547       15.238   314.4
0.6800      -260017.931  -260033.943       16.012   330.3
0.6900      -260018.443  -260034.056       15.613   322.1
0.7000      -260018.670  -260034.503       15.833   326.6
0.7100      -260019.255  -260033.726       14.471   298.5
0.7200      -260019.198  -260034.499       15.302   315.7
0.7300      -260019.092  -260034.126       15.034   310.1
0.7400      -260018.965  -260033.357       14.392   296.9
0.7500      -260019.139  -260033.913       14.774   304.8
0.7600      -260019.054  -260034.003       14.950   308.4
0.7700      -260018.677  -260033.500       14.823   305.8
0.7800      -260019.322  -260033.367       14.044   289.7
0.7900      -260018.957  -260034.201       15.244   314.5
0.8000      -260019.027  -260034.387       15.360   316.9
0.8100      -260018.876  -260034.094       15.218   314.0
0.8200      -260018.970  -260033.854       14.885   307.1
0.8300      -260019.306  -260034.502       15.196   313.5
0.8400      -260019.667  -260034.133       14.466   298.4
0.8500      -260020.280  -260034.600       14.320   295.4
0.8600      -260019.853  -260035.032       15.179   313.1
0.8700      -260019.859  -260034.633       14.773   304.8
0.8800      -260019.944  -260034.258       14.315   295.3
0.8900      -260019.601  -260034.042       14.440   297.9
0.9000      -260019.774  -260034.495       14.721   303.7
0.9100      -260018.995  -260034.237       15.242   314.5
0.9200      -260019.296  -260033.456       14.161   292.1
0.9300      -260019.322  -260033.417       14.095   290.8
0.9400      -260020.205  -260034.701       14.496   299.1
0.9500      -260019.949  -260035.173       15.224   314.1
0.9600      -260020.521  -260035.307       14.785   305.0
0.9700      -260021.133  -260035.142       14.009   289.0
0.9800      -260021.706  -260034.755       13.049   269.2
0.9900      -260021.678  -260035.120       13.442   277.3
1.0000      -260022.076  -260036.102       14.026   289.4
1.0100      -260021.499  -260035.370       13.871   286.2
1.0200      -260021.395  -260035.187       13.793   284.5
1.0300      -260020.906  -260034.981       14.075   290.4
1.0400      -260020.936  -260034.641       13.705   282.7
1.0500      -260020.539  -260034.798       14.259   294.2
1.0600      -260020.734  -260035.220       14.486   298.9
1.0700      -260020.625  -260034.651       14.026   289.4
1.0800      -260021.484  -260035.482       13.998   288.8
1.0900      -260021.886  -260036.114       14.228   293.5
1.1000      -260022.546  -260036.289       13.743   283.5
1.1100      -260022.699  -260036.162       13.464   277.8
1.1200      -260022.499  -260036.378       13.880   286.3
1.1300      -260022.528  -260036.498       13.970   288.2
1.1400      -260022.338  -260035.963       13.624   281.1
1.1500      -260022.602  -260036.392       13.791   284.5
1.1600      -260022.215  -260036.442       14.227   293.5
1.1700      -260021.738  -260035.956       14.217   293.3
1.1800      -260022.000  -260036.080       14.079   290.5
1.1900      -260021.577  -260036.257       14.679   302.8
1.2000      -260021.578  -260035.301       13.723   283.1
1.2100      -260020.814  -260034.505       13.691   282.4
1.2200      -260020.485  -260034.735       14.250   294.0
1.2300      -260020.523  -260034.911       14.388   296.8
1.2400      -260020.651  -260034.645       13.994   288.7
1.2500      -260020.681  -260034.731       14.050   289.9
1.2600      -260020.414  -260034.617       14.203   293.0
1.2700      -260020.081  -260034.079       13.997   288.8
1.2800      -260019.875  -260034.541       14.667   302.6
1.2900      -260019.239  -260034.601       15.362   316.9
1.3000      -260019.262  -260033.886       14.623   301.7
1.3100      -260019.040  -260033.519       14.478   298.7
1.3200      -260019.268  -260033.536       14.269   294.4
1.3300      -260018.956  -260033.810       14.854   306.5
1.3400      -260019.062  -260034.164       15.102   311.5
1.3500      -260019.618  -260034.916       15.297   315.6
1.3600      -260019.501  -260034.050       14.549   300.1
1.3700      -260019.696  -260033.935       14.239   293.8
1.3800      -260019.869  -260033.585       13.716   283.0
1.3900      -260019.753  -260034.669       14.916   307.7
1.4000      -260019.197  -260034.602       15.405   317.8
1.4100      -260019.227  -260033.584       14.357   296.2
1.4200      -260019.756  -260033.792       14.037   289.6
1.4300      -260019.645  -260034.230       14.585   300.9
1.4400      -260019.939  -260033.912       13.973   288.3
1.4500      -260019.329  -260033.728       14.399   297.1
1.4600      -260019.519  -260033.630       14.111   291.1
1.4700      -260019.385  -260033.785       14.399   297.1
1.4800      -260018.883  -260032.936       14.053   289.9
1.4900      -260019.212  -260033.469       14.257   294.1
1.5000      -260019.262  -260034.205       14.943   308.3
1.5100      -260019.197  -260033.643       14.446   298.0
1.5200      -260018.796  -260034.062       15.266   314.9
1.5300      -260018.968  -260033.730       14.762   304.5
1.5400      -260018.881  -260034.751       15.869   327.4
1.5500      -260019.663  -260034.060       14.397   297.0
1.5600      -260019.351  -260033.972       14.621   301.6
1.5700      -260019.622  -260035.119       15.497   319.7
1.5800      -260019.484  -260035.382       15.898   328.0
1.5900      -260019.390  -260034.613       15.223   314.1
1.6000      -260019.636  -260034.466       14.830   305.9
1.6100      -260019.716  -260034.389       14.673   302.7
1.6200      -260019.848  -260035.181       15.333   316.3
1.6300      -260019.955  -260034.043       14.087   290.6
1.6400      -260020.511  -260034.429       13.918   287.1
1.6500      -260020.710  -260034.554       13.843   285.6
1.6600      -260019.935  -260034.341       14.406   297.2
